issn_id,collection,subject_area
0123-3122,,Ciências Sociais Aplicadas
0123-3122,,Ciências da Saúde
0123-3432,,"Linguística, Letras e Artes"
0123-3475,,Ciências Biológicas
0123-3475,,Ciências Exatas e da Terra
0123-3475,,Engenharias
0123-3769,,Ciências Sociais Aplicadas
0123-417X,,Ciências Humanas
0123-4226,,Ciências Agrárias
0123-4226,,Ciências Biológicas
0123-4226,,Ciências Humanas
0123-4226,,Ciências Sociais Aplicadas
0123-4226,,Ciências da Saúde
0123-4366,,Ciências Sociais Aplicadas
0123-4641,,"Linguística, Letras e Artes"
0123-4870,,"Linguística, Letras e Artes"
0123-4870,,Ciências Humanas
0123-5923,,Ciências Sociais Aplicadas
0123-5931,,Ciências Humanas
0123-7799,,Ciências Exatas e da Terra
0123-7799,,Engenharias
0123-8418,,Ciências Sociais Aplicadas
0123-885X,,Ciências Sociais Aplicadas
0123-9015,,Ciências da Saúde
0123-9155,,Ciências Humanas
0123-921X,,Engenharias
0123-9392,,Ciências da Saúde
0124-0064,,Ciências da Saúde
0124-0137,,Ciências Sociais Aplicadas
0124-0579,,Ciências Sociais Aplicadas
0124-2253,,Ciências Sociais Aplicadas
0124-4035,,Ciências Sociais Aplicadas
0124-4108,,Ciências da Saúde
0124-4639,,Ciências Sociais Aplicadas
0124-5376,,Ciências Biológicas
0124-5996,,Ciências Sociais Aplicadas
0124-6127,,Ciências Humanas
0124-7107,,Ciências da Saúde
0124-7441,,Ciências Sociais Aplicadas
0124-7913,,Ciências Humanas
0124-8146,,Ciências da Saúde
0124-8170,,Engenharias
0124-8693,,Ciências Sociais Aplicadas
0138-6557,,Ciências da Saúde
0185-013X,,Ciências Sociais Aplicadas
0185-0636,,Ciências Sociais Aplicadas
0185-092X,,Engenharias
0185-1101,,Ciências Exatas e da Terra
0185-1276,,Ciências Humanas
0185-1616,,Ciências Sociais Aplicadas
0185-1659,,Ciências Humanas
0185-1667,,Ciências Sociais Aplicadas
0185-1918,,Ciências Sociais Aplicadas
0185-2450,,Ciências Humanas
0185-2523,,Ciências Humanas
0185-2574,,Ciências Humanas
0185-2620,,Ciências Humanas
0185-2698,,Ciências Humanas
0185-2698,,Ciências Sociais Aplicadas
0185-2760,,Ciências Humanas
0185-3058,,Ciências Humanas
0185-3058,,Ciências Sociais Aplicadas
0185-3082,,"Linguística, Letras e Artes"
0185-3082,,Ciências Humanas
0185-3309,,Ciências Agrárias
0185-3309,,Ciências Biológicas
0185-3309,,Engenharias
0185-3325,,Ciências da Saúde
0185-3880,,Ciências Exatas e da Terra
0185-3929,,Ciências Humanas
0185-3929,,Ciências Sociais Aplicadas
0185-4534,,Ciências Humanas
0185-6286,,Ciências Humanas
0186-0348,,Ciências Humanas
0186-1042,,Ciências Sociais Aplicadas
0186-2391,,Ciências Humanas
0186-2979,,Ciências Agrárias
0186-2979,,Ciências Biológicas
0186-2979,,Ciências Exatas e da Terra
0186-4866,,Ciências da Saúde
0186-7202,,Ciências Sociais Aplicadas
0186-7210,,Ciências Sociais Aplicadas
0187-0173,,Ciências Sociais Aplicadas
0187-3180,,Ciências Biológicas
0187-358X,,Ciências Sociais Aplicadas
0187-4705,,Ciências da Saúde
0187-5337,,Ciências da Saúde
0187-5779,,Ciências Agrárias
0187-5779,,Engenharias
0187-5795,,Ciências Humanas
0187-5795,,Ciências Sociais Aplicadas
0187-6236,,Ciências Exatas e da Terra
0187-6961,,Ciências Sociais Aplicadas
0187-7151,,Ciências Biológicas
0187-7372,,Ciências Sociais Aplicadas
0187-7380,,Ciências Agrárias
0187-7380,,Ciências Biológicas
0187-7585,,Ciências da Saúde
0187-8433,,Ciências da Saúde
0187-893X,,Ciências Biológicas
0188-2198,,Ciências da Saúde
0188-2503,,Ciências Sociais Aplicadas
0188-252X,,Ciências Sociais Aplicadas
0188-2546,,Ciências Humanas
0188-2872,,Ciências Humanas
0188-3380,,Ciências Sociais Aplicadas
0188-4557,,Ciências Sociais Aplicadas
0188-4611,,Ciências Exatas e da Terra
0188-4999,,Ciências Biológicas
0188-6266,,Ciências Biológicas
0188-6266,,Ciências Exatas e da Terra
0188-6266,,Ciências Sociais Aplicadas
0188-6266,,Ciências da Saúde
0188-6649,,Ciências Humanas
0188-7017,,Ciências Humanas
0188-7653,,Ciências Sociais Aplicadas
0188-7742,,Ciências Humanas
0188-7742,,Ciências Sociais Aplicadas
0188-8897,,Ciências Biológicas
0188-9532,,Engenharias
0210-4806,,Ciências da Saúde
0210-5691,,Ciências da Saúde
0211-5735,,Ciências da Saúde
0211-6995,,Ciências da Saúde
0211-9536,,Ciências da Saúde
0212-1611,,Ciências da Saúde
0212-7199,,Ciências da Saúde
0212-9728,,Ciências da Saúde
0213-1285,,Ciências da Saúde
0213-6163,,Ciências da Saúde
0213-9111,,Ciências da Saúde
0214-7823,,Ciências da Saúde
0250-5460,,Ciências Biológicas
0250-5460,,Ciências Exatas e da Terra
0250-7161,,Ciências Humanas
0250-7161,,Ciências Sociais Aplicadas
